release_date;movie;production_budget;domestic_gross;worldwide_gross;distributor;mpaa_rating;genre;profit_ratio;decade
1989-08-04;Sex, Lies, and Videotape;1200000;24741667;36741667;Other;R;Drama;3,06180558333333e+01;1980
2004-10-29;Saw;1200000;55968727;103880027;Other;R;Horror;8,65666891666667e+01;2000
2013-04-19;Filly Brown;1250000;2850357;2940411;Other;R;Drama;2,35232880000000e+00;2010
1984-08-31;C.H.U.D.;1250000;4700000;4700000;Other;NA;Horror;3,76000000000000e+00;1980
1981-04-30;Friday the 13th Part 2;1250000;21722776;21722776;Paramount Pictures;NA;Horror;1,73782208000000e+01;1980
1985-03-15;Def-Con 4;1300000;210904;210904;Other;NA;Action;1,62233846153846e-01;1980
2000-05-05;The Basket;1300000;609042;609042;Other;PG;Drama;4,68493846153846e-01;2000
2007-03-23;Journey from the Fall;1300000;635305;635305;Other;R;Drama;4,88696153846154e-01;2000
1996-10-11;Trees Lounge;1300000;749741;749741;Other;R;Drama;5,76723846153846e-01;1990
1998-10-09;Festen;1300000;1647780;1647780;Other;R;Comedy;1,26752307692308e+00;1990
2005-04-29;The Holy Girl;1400000;304124;1261792;Other;R;Drama;9,01280000000000e-01;2000
2015-11-20;Mustang;1400000;845464;5545484;Other;PG-13;Drama;3,96106000000000e+00;2010
2009-10-09;Trucker;1500000;52429;52429;Other;R;Drama;3,49526666666667e-02;2000
2005-09-28;Forty Shades of Blue;1500000;75828;172569;Other;R;Drama;1,15046000000000e-01;2000
2002-03-22;Stolen Summer;1500000;119841;119841;Other;PG;Drama;7,98940000000000e-02;2000
2007-05-11;The Salon;1500000;139084;139084;Other;PG-13;Comedy;9,27226666666667e-02;2000
1936-02-05;Modern Times;1500000;163245;165049;Other;G;Comedy;1,10032666666667e-01;1930
2008-10-31;My Name is Bruce;1500000;173066;173066;Other;R;Horror;1,15377333333333e-01;2000
2007-09-07;Hatchet;1500000;175281;240396;Other;R;Horror;1,60264000000000e-01;2000
2011-08-19;Amigo;1500000;184705;184705;Other;R;Drama;1,23136666666667e-01;2010
2011-02-11;MOOZ-lum;1500000;362239;372239;Other;PG-13;Drama;2,48159333333333e-01;2010
2008-03-07;Snow Angels;1500000;402858;414404;Other;R;Drama;2,76269333333333e-01;2000
2002-05-17;The Believer;1500000;406035;1840248;Sony Pictures;R;Drama;1,22683200000000e+00;2000
2005-03-25;The Ballad of Jack and Rose;1500000;712294;1126258;Other;R;Drama;7,50838666666667e-01;2000
2013-04-19;The Lords of Salem;1500000;1165881;1541131;Other;R;Horror;1,02742066666667e+00;2010
2002-04-19;Nueve Reinas;1500000;1222889;12412889;Other;R;Drama;8,27525933333333e+00;2000
2016-10-21;I’m Not Ashamed;1500000;2082980;2082980;Other;PG-13;Drama;1,38865333333333e+00;2010
1984-03-02;Repo Man;1500000;2300000;2300000;Universal;NA;Comedy;1,53333333333333e+00;1980
1998-06-26;Buffalo '66;1500000;2380606;2380606;Other;R;Comedy;1,58707066666667e+00;1990
2013-07-26;The To Do List;1500000;3491669;4128828;Other;R;Comedy;2,75255200000000e+00;2010
1994-09-23;Exotica;1500000;5046118;5046118;Other;R;Drama;3,36407866666667e+00;1990
1979-04-20;Dawn of the Dead;1500000;5100000;55000000;Other;NA;Horror;3,66666666666667e+01;1970
2005-10-05;The Squid and the Whale;1500000;7372734;11191423;Other;R;Drama;7,46094866666667e+00;2000
1988-02-26;Bloodsport;1500000;11806119;11806119;Other;R;Action;7,87074600000000e+00;1980
1989-09-08;Kickboxer;1500000;14533681;14533681;Other;R;Action;9,68912066666667e+00;1980
2003-09-12;Cabin Fever;1500000;21158188;30351664;Other;R;Horror;2,02344426666667e+01;2000
2016-10-21;Moonlight;1500000;27854931;65322266;Other;R;Drama;4,35481773333333e+01;2010
2011-04-01;Insidious;1500000;54009150;99870886;Other;R;Horror;6,65805906666667e+01;2010
2005-11-04;I Love Your Work;1600000;3264;3264;Other;R;Comedy;2,04000000000000e-03;2000
1999-01-15;Mississippi Mermaid;1600000;27795;2627795;Other;R;Drama;1,64237187500000e+00;1990
2006-01-27;Bubble;1600000;145382;145382;Other;R;Drama;9,08637500000000e-02;2000
1999-04-09;Foolish;1600000;6026908;6026908;Other;R;Comedy;3,76681750000000e+00;1990
2005-06-24;Yes;1700000;396035;661221;Other;R;Drama;3,88953529411765e-01;2000
2005-06-17;My Summer of Love;1700000;1000915;4727375;Other;R;Drama;2,78080882352941e+00;2000
2015-12-18;Saul fia;1700000;1777043;9696537;Other;R;Drama;5,70384529411765e+00;2010
1999-10-01;Happy, Texas;1700000;2039192;2891228;Other;PG-13;Comedy;1,70072235294118e+00;1990
2013-10-04;Grace Unplugged;1700000;2507159;2507159;Other;PG;Drama;1,47479941176471e+00;2010
2014-02-28;The Lunchbox;1700000;4231500;12231500;Other;PG;Drama;7,19500000000000e+00;2010
2008-03-19;La misma luna;1700000;12590147;23271741;Other;PG-13;Drama;1,36892594117647e+01;2000
2001-11-23;In the Bedroom;1700000;35930604;42137871;Other;R;Drama;2,47869829411765e+01;2000
2010-10-08;I Spit on Your Grave;1750000;93051;1278471;Other;R;Horror;7,30554857142857e-01;2010
2011-08-23;Higher Ground;1800000;841056;842693;Other;R;Drama;4,68162777777778e-01;2010
2001-06-15;Songcatcher;1800000;3050934;3050934;Other;PG-13;Drama;1,69496333333333e+00;2000
2002-11-15;El crimen de padre Amaro;1800000;5719000;5719000;Other;R;Drama;3,17722222222222e+00;2000
2012-06-27;Beasts of the Southern Wild;1800000;12795746;23265132;Other;PG-13;Drama;1,29250733333333e+01;2010
1984-11-09;A Nightmare on Elm Street;1800000;25504513;25504513;Other;R;Horror;1,41691738888889e+01;1980
1976-11-16;Carrie;1800000;25878153;25878153;Other;NA;Horror;1,43767516666667e+01;1970
2010-08-27;The Last Exorcism;1800000;41034350;70165900;Other;PG-13;Horror;3,89810555555556e+01;2010
2011-06-03;Submarine;1900000;467602;4581937;Other;R;Comedy;2,41154578947368e+00;2010
2015-04-24;Brotherly Love;1900000;478595;478595;Other;R;Drama;2,51892105263158e-01;2010
2003-07-11;Northfork;1900000;1420578;1445140;Other;PG-13;Drama;7,60600000000000e-01;2000
2010-10-08;Nowhere Boy;1900000;1445366;7785229;Other;R;Drama;4,09748894736842e+00;2010
2011-09-09;Grave Encounters;2000000;0;2151887;Other;NA;Horror;1,07594350000000e+00;2010
2006-06-23;Say Uncle;2000000;5361;5361;Other;R;Comedy;2,68050000000000e-03;2000
2008-10-31;Eden Lake;2000000;7321;4294373;Other;R;Horror;2,14718650000000e+00;2000
2006-02-10;London;2000000;12667;12667;Other;R;Drama;6,33350000000000e-03;2000
1993-01-01;Return of the Living Dead 3;2000000;21000;21000;NA;NA;Horror;1,05000000000000e-02;1990
2009-03-20;Super Capers;2000000;30955;30955;Other;PG;Adventure;1,54775000000000e-02;2000
2017-02-03;Growing up Smith;2000000;35312;35312;Other;PG-13;Comedy;1,76560000000000e-02;2010
1998-04-15;24 7: Twenty Four Seven;2000000;72544;72544;Other;R;Comedy;3,62720000000000e-02;1990
2005-04-15;It's All Gone Pete Tong;2000000;120620;2226603;Other;R;Drama;1,11330150000000e+00;2000
2006-09-08;Sherrybaby;2000000;199176;759504;Other;R;Drama;3,79752000000000e-01;2000
1996-07-26;Stonewall;2000000;304602;304602;Other;R;Drama;1,52301000000000e-01;1990
2008-01-18;Teeth;2000000;347578;2350641;Other;R;Comedy;1,17532050000000e+00;2000
2005-04-15;House of D;2000000;388532;466106;Other;PG-13;Drama;2,33053000000000e-01;2000
2010-09-24;The Virginity Hit;2000000;636706;636706;Sony Pictures;R;Comedy;3,18353000000000e-01;2010
2001-09-28;Dinner Rush;2000000;638227;1075504;Other;R;Drama;5,37752000000000e-01;2000
2011-04-08;Meek's Cutoff;2000000;977772;1869928;Other;PG;Drama;9,34964000000000e-01;2010
1999-04-30;Get Real;2000000;1152411;1152411;Paramount Pictures;R;Comedy;5,76205500000000e-01;1990
2015-08-07;The Diary of a Teenage Girl;2000000;1477002;2279959;Other;R;Drama;1,13997950000000e+00;2010
2008-05-02;Son of Rambow: A Home Movie;2000000;1785505;11263263;Other;PG-13;Comedy;5,63163150000000e+00;2000
2006-06-28;Strangers with Candy;2000000;2072645;2077844;Other;R;Comedy;1,03892200000000e+00;2000
2017-01-20;The Resurrection of Gavin Stone;2000000;2303792;2303792;Other;PG;Comedy;1,15189600000000e+00;2010
2002-08-02;Full Frontal;2000000;2512846;3438804;Other;R;Comedy;1,71940200000000e+00;2000
2015-09-18;Captive;2000000;2583301;2791973;Paramount Pictures;PG-13;Drama;1,39598650000000e+00;2010
2000-03-03;Ghost Dog: The Way of the Samurai;2000000;3330230;10672492;Other;R;Drama;5,33624600000000e+00;2000
2006-11-10;Harsh Times;2000000;3337931;6225304;Other;R;Drama;3,11265200000000e+00;2000
2015-08-28;We Are Your Friends;2000000;3591417;10166209;Warner Bros.;R;Drama;5,08310450000000e+00;2010
2005-06-17;Me and You and Everyone We Know;2000000;3885134;9615464;Other;R;Drama;4,80773200000000e+00;2000
2003-08-20;Thirteen;2000000;4601043;9505996;Other;R;Drama;4,75299800000000e+00;2000
2001-03-30;Amores Perros;2000000;5383834;20883834;Other;R;Drama;1,04419170000000e+01;2000
2004-07-02;Before Sunset;2000000;5792822;11217346;Other;R;Drama;5,60867300000000e+00;2000
2017-08-25;All Saints;2000000;5802208;5941994;Sony Pictures;PG;Drama;2,97099700000000e+00;2010
2017-10-06;The Florida Project;2000000;5904366;11303040;Other;R;Drama;5,65152000000000e+00;2010
2003-08-15;American Splendor;2000000;6003587;8685632;Other;R;Drama;4,34281600000000e+00;2000
2010-06-11;Winter's Bone;2000000;6531503;16131551;Other;R;Drama;8,06577550000000e+00;2010
1998-06-26;Smoke Signals;2000000;6719300;7756617;Other;PG-13;Comedy;3,87830850000000e+00;1990
1986-12-31;Witchboard;2000000;7369373;7369373;Other;NA;Horror;3,68468650000000e+00;1980
2007-02-09;Das Leben der Anderen;2000000;11284657;81197047;Other;R;Drama;4,05985235000000e+01;2000
1999-10-08;Boys Don't Cry;2000000;11540607;20741000;Other;R;Drama;1,03705000000000e+01;1990
2012-03-09;Silent House;2000000;12739737;16610760;Other;R;Horror;8,30538000000000e+00;2010
2015-03-13;It Follows;2000000;14674077;23250755;Other;R;Horror;1,16253775000000e+01;2010
1973-12-17;Sleeper;2000000;18344729;18344729;Other;NA;Comedy;9,17236450000000e+00;1970
1967-08-02;In the Heat of the Night;2000000;24379978;24407647;Other;NA;Drama;1,22038235000000e+01;1960
1982-05-21;Mad Max 2: The Road Warrior;2000000;24600832;24600832;Warner Bros.;NA;Action;1,23004160000000e+01;1980
1964-04-08;From Russia With Love;2000000;24800000;78900000;Other;PG;Action;3,94500000000000e+01;1960
2011-09-30;Courageous;2000000;34522221;35185884;Sony Pictures;PG-13;Drama;1,75929420000000e+01;2010
2016-10-16;Mi America;2100000;3330;3330;Other;R;Drama;1,58571428571429e-03;2010
2001-07-13;Bully;2100000;881824;1381824;Other;R;Drama;6,58011428571429e-01;2000
2007-02-09;The Last Sin Eater;2200000;388390;388390;20th Century Fox;PG-13;Drama;1,76540909090909e-01;2000
1971-10-09;The French Connection;2200000;41158757;41158757;NA;NA;Drama;1,87085259090909e+01;1970
1982-08-13;Friday the 13th Part 3;2250000;36690067;36690067;Paramount Pictures;NA;Horror;1,63066964444444e+01;1980
1940-02-09;Pinocchio;2289247;84300000;84300000;Other;G;Adventure;3,68243356876737e+01;1940
2011-08-26;Redemption Road;2300000;29384;29384;Other;PG-13;Drama;1,27756521739130e-02;2010
2014-09-05;Frontera;2300000;59696;59696;Other;PG-13;Drama;2,59547826086957e-02;2010
1998-05-01;Dancer, Texas Pop. 81;2300000;574838;574838;Sony Pictures;PG;Comedy;2,49929565217391e-01;1990
2015-03-20;Do You Believe?;2300000;12985600;14305450;Other;PG-13;Drama;6,21976086956522e+00;2010
2006-09-01;Idiocracy;2400000;444093;500296;20th Century Fox;R;Comedy;2,08456666666667e-01;2000
1996-10-16;Get on the Bus;2400000;5691854;5691854;Sony Pictures;R;Drama;2,37160583333333e+00;1990
2011-05-13;Go For It!;2450000;180237;182358;Other;PG-13;Drama;7,44318367346939e-02;2010
2013-08-16;Underdogs;2500000;35017;35017;Other;PG;Drama;1,40068000000000e-02;2010
2007-08-24;Eye of the Dolphin;2500000;72210;72260;Other;PG-13;Drama;2,89040000000000e-02;2000
2008-06-20;Brick Lane;2500000;1094998;3838486;Other;PG-13;Drama;1,53539440000000e+00;2000
